kategori_produk,wilayah,nama_barang,jumlah_dilihat,dimasukkan_keranjang,qty,nominal
Elektronik,Jawa Timur,Headphone Bluetooth,120,35,20,3000000
Elektronik,Jawa Barat,Mouse Wireless,95,40,25,1875000
Fashion,DKI Jakarta,Kaos Polos,200,60,45,2250000
Fashion,Jawa Tengah,Jaket Denim,150,50,30,4500000
Kesehatan,Bali,Vitamin C,80,30,18,540000
Rumah Tangga,Sumatera Utara,Panci Anti Lengket,70,20,12,960000
Olahraga,Jawa Timur,Raket Badminton,110,25,15,2250000
Elektronik,DI Yogyakarta,Powerbank 10000mAh,130,55,40,3200000
Fashion,Jawa Barat,Sneakers Pria,170,65,38,5700000
Kecantikan,DKI Jakarta,Serum Wajah,90,45,28,1400000
Rumah Tangga,Banten,Vacuum Cleaner,60,18,10,2500000
Olahraga,Jawa Tengah,Bola Sepak,75,22,14,700000
Elektronik,Bali,Smartwatch,140,48,32,4800000
Fashion,Sumatera Selatan,Hijab Instan,160,70,50,1500000
Kesehatan,Jawa Timur,Hand Sanitizer,85,33,21,315000
Rumah Tangga,Jawa Barat,Lampu LED,125,52,37,925000
Kecantikan,Jawa Tengah,Lipstik Matte,105,44,29,870000
Olahraga,DKI Jakarta,Matras Yoga,98,36,24,1200000
Elektronik,Banten,Keyboard Mechanical,115,42,26,3900000
Fashion,Bali,Tas Ransel,145,58,34,2720000
